session_id,anomaly_description,value,unit
597297861,User actively charging for longer than 12 hours,13:23:33,hh:mm:ss
597717021,User plugged in for longer than 24 hours,49:56:37,hh:mm:ss
622514571,User actively charging for longer than 12 hours,12:36:49,hh:mm:ss
649171451,User actively charging for longer than 12 hours,12:00:35,hh:mm:ss
679665461,User plugged in for longer than 24 hours,40:13:53,hh:mm:ss
690899381,User plugged in for longer than 24 hours,25:55:07,hh:mm:ss
691812531,User actively charging for longer than 12 hours,12:56:44,hh:mm:ss
761405211,User plugged in for longer than 24 hours,45:49:32,hh:mm:ss
763133001,User plugged in for longer than 24 hours,28:18:39,hh:mm:ss
769698181,User plugged in for longer than 24 hours,24:04:52,hh:mm:ss
770121901,User plugged in for longer than 24 hours,37:36:07,hh:mm:ss
774173241,User plugged in for longer than 24 hours,40:31:47,hh:mm:ss
785535071,User plugged in for longer than 24 hours,69:25:13,hh:mm:ss
789494661,User plugged in for longer than 24 hours,40:02:43,hh:mm:ss
791950271,User plugged in for longer than 24 hours,235:59:38,hh:mm:ss
802047931,User plugged in for longer than 24 hours,33:07:48,hh:mm:ss
803692551,User plugged in for longer than 24 hours,99:44:27,hh:mm:ss
825160691,User plugged in for longer than 24 hours,63:34:14,hh:mm:ss
976622031,User plugged in for longer than 24 hours,30:29:30,hh:mm:ss
979867851,User plugged in for longer than 24 hours,41:34:21,hh:mm:ss
984614781,User plugged in for longer than 24 hours,25:20:39,hh:mm:ss
985318761,User plugged in for longer than 24 hours,24:34:24,hh:mm:ss
991631611,User plugged in for longer than 24 hours,24:14:25,hh:mm:ss
1001954011,User plugged in for longer than 24 hours,24:56:05,hh:mm:ss
1027175171,User plugged in for longer than 24 hours,27:26:34,hh:mm:ss
1040503311,User plugged in for longer than 24 hours,115:31:33,hh:mm:ss
1072818711,User plugged in for longer than 24 hours,96:06:49,hh:mm:ss
1088194821,User plugged in for longer than 24 hours,325:29:46,hh:mm:ss
1193579961,User actively charging for longer than 12 hours,12:06:34,hh:mm:ss
1384389891,User actively charging for longer than 12 hours,18:33:36,hh:mm:ss
1383230341,User plugged in for longer than 24 hours,35:12:59,hh:mm:ss
1385161851,User actively charging for longer than 12 hours,12:13:42,hh:mm:ss
1405014231,User actively charging for longer than 12 hours,12:25:26,hh:mm:ss
1445084031,User plugged in for longer than 24 hours,24:29:38,hh:mm:ss
1447388781,User actively charging for longer than 12 hours,12:42:38,hh:mm:ss
1462154751,User actively charging for longer than 12 hours,12:36:23,hh:mm:ss
1463349871,User plugged in for longer than 24 hours,25:01:07,hh:mm:ss
1464835721,User actively charging for longer than 12 hours,12:33:34,hh:mm:ss
1488273851,User actively charging for longer than 12 hours,12:00:25,hh:mm:ss
1501465151,User plugged in for longer than 24 hours,40:01:02,hh:mm:ss
1521547571,User actively charging for longer than 12 hours,12:23:27,hh:mm:ss
1524207011,User actively charging for longer than 12 hours,12:17:36,hh:mm:ss
1537142331,User actively charging for longer than 12 hours,12:00:25,hh:mm:ss
1545363031,User plugged in for longer than 24 hours,32:33:55,hh:mm:ss
1558155411,User actively charging for longer than 12 hours,12:07:03,hh:mm:ss
1560434071,User actively charging for longer than 12 hours,12:55:25,hh:mm:ss
1565104491,User actively charging for longer than 12 hours,12:23:23,hh:mm:ss
1568461701,User actively charging for longer than 12 hours,12:19:44,hh:mm:ss
1578985311,User actively charging for longer than 12 hours,12:13:19,hh:mm:ss
1588934591,User actively charging for longer than 12 hours,12:58:47,hh:mm:ss
1599233951,User actively charging for longer than 12 hours,12:06:24,hh:mm:ss
1621169391,User actively charging for longer than 12 hours,13:55:48,hh:mm:ss
1622352641,User actively charging for longer than 12 hours,12:01:31,hh:mm:ss
1630926201,User actively charging for longer than 12 hours,12:39:59,hh:mm:ss
1631278771,User plugged in for longer than 24 hours,30:35:15,hh:mm:ss
1642486131,User actively charging for longer than 12 hours,12:13:36,hh:mm:ss
1647693051,User plugged in for longer than 24 hours,24:36:57,hh:mm:ss
1655253181,User actively charging for longer than 12 hours,12:10:00,hh:mm:ss
1664563511,User actively charging for longer than 12 hours,13:36:23,hh:mm:ss
1685268551,User actively charging for longer than 12 hours,14:21:49,hh:mm:ss
1696342831,User actively charging for longer than 12 hours,12:30:31,hh:mm:ss
1712404171,User actively charging for longer than 12 hours,14:00:02,hh:mm:ss
1722739391,User actively charging for longer than 12 hours,13:39:03,hh:mm:ss
1748712381,User actively charging for longer than 12 hours,12:03:53,hh:mm:ss
1775086061,User actively charging for longer than 12 hours,12:09:01,hh:mm:ss
1779614871,Charging power exceeds 7 kW,10.762082211981568,kW
1787787581,User actively charging for longer than 12 hours,12:23:01,hh:mm:ss
1798991341,User actively charging for longer than 12 hours,14:05:46,hh:mm:ss
1808643751,User actively charging for longer than 12 hours,12:22:31,hh:mm:ss
1818564801,User actively charging for longer than 12 hours,12:15:08,hh:mm:ss
1822459721,User actively charging for longer than 12 hours,12:03:25,hh:mm:ss
1832295751,User actively charging for longer than 12 hours,13:02:59,hh:mm:ss
1838999011,User actively charging for longer than 12 hours,13:02:04,hh:mm:ss
1856207621,User actively charging for longer than 12 hours,12:46:01,hh:mm:ss
2116536611,User actively charging for longer than 12 hours,14:01:26,hh:mm:ss
2466379121,User plugged in for longer than 24 hours,25:03:27,hh:mm:ss
2471528401,User plugged in for longer than 24 hours,24:35:37,hh:mm:ss
2503187721,User actively charging for longer than 12 hours,12:36:06,hh:mm:ss
2503949601,User plugged in for longer than 24 hours,25:11:42,hh:mm:ss
2526901311,User plugged in for longer than 24 hours,24:09:30,hh:mm:ss
2536084741,User plugged in for longer than 24 hours,29:30:23,hh:mm:ss
2538371391,User actively charging for longer than 12 hours,12:21:30,hh:mm:ss
