station_id,day_of_week,start_hour,end_hour,avg_util,rank
00c4ca50ea,Saturday,15,17,0.32051282051282054,1.0
00c4ca50ea,Saturday,6,8,0.4807692307692308,2.0
00c4ca50ea,Saturday,14,16,0.6410256410256411,3.0
00c4ca50ea,Saturday,7,9,0.8012820512820512,4.0
00c4ca50ea,Saturday,9,11,0.8012820512820512,5.0
01335ad401,Sunday,6,8,0.6349206349206349,1.0
01335ad401,Sunday,15,17,0.6349206349206349,2.0
01335ad401,Saturday,14,16,0.8012820512820512,3.0
01335ad401,Saturday,15,17,0.8012820512820512,4.0
01335ad401,Saturday,13,15,0.9615384615384616,5.0
18db03c780,Sunday,6,8,0.1587301587301587,1.0
18db03c780,Sunday,7,9,0.1587301587301587,2.0
18db03c780,Sunday,8,10,0.1587301587301587,3.0
18db03c780,Sunday,9,11,0.1587301587301587,4.0
18db03c780,Sunday,15,17,0.1587301587301587,5.0
2f3eaeac89,Sunday,6,8,0.0,1.0
2f3eaeac89,Sunday,7,9,0.0,2.0
2f3eaeac89,Sunday,8,10,0.0,3.0
2f3eaeac89,Sunday,9,11,0.0,4.0
2f3eaeac89,Sunday,10,12,0.0,5.0
2f753a1a41,Sunday,6,8,0.25641025641025644,1.0
2f753a1a41,Saturday,6,8,0.5128205128205128,2.0
2f753a1a41,Sunday,7,9,0.7692307692307692,3.0
2f753a1a41,Sunday,8,10,1.5384615384615383,4.0
2f753a1a41,Sunday,10,12,1.5384615384615383,5.0
4ce863e612,Saturday,15,17,2.0634920634920633,1.0
4ce863e612,Saturday,14,16,2.0634920634920637,2.0
4ce863e612,Sunday,6,8,2.0634920634920637,3.0
615db15a48,Saturday,6,8,0.06195786864931843,1.0
615db15a48,Saturday,7,9,0.18587360594795532,2.0
615db15a48,Saturday,8,10,0.3717472118959107,3.0
615db15a48,Saturday,9,11,0.43370508054522916,4.0
615db15a48,Saturday,10,12,0.43370508054522916,5.0
877bdb5fe8,Sunday,9,11,2.0,1.0
87adf1b6d0,Saturday,6,8,0.24875621890547264,1.0
87adf1b6d0,Saturday,7,9,0.4975124378109453,2.0
87adf1b6d0,Sunday,6,8,0.5576208178438661,3.0
87adf1b6d0,Saturday,8,10,0.5597014925373135,4.0
87adf1b6d0,Sunday,7,9,0.7434944237918216,5.0
8d245803d0,Saturday,9,11,0.5617977528089888,1.0
8d245803d0,Saturday,8,10,1.8726591760299627,2.0
8d245803d0,Saturday,7,9,2.4344569288389515,3.0
a9571abfa4,Saturday,6,8,1.4423076923076923,1.0
a9571abfa4,Saturday,7,9,1.6025641025641024,2.0
a9571abfa4,Saturday,8,10,1.6025641025641024,3.0
a9571abfa4,Saturday,9,11,1.7628205128205128,4.0
a9571abfa4,Saturday,15,17,1.9230769230769231,5.0
a96c3b900c,Sunday,6,8,0.0,1.0
a96c3b900c,Sunday,13,15,0.0,2.0
a96c3b900c,Sunday,14,16,0.0,3.0
a96c3b900c,Sunday,15,17,0.0,4.0
a96c3b900c,Saturday,6,8,0.16025641025641027,5.0
adcfa1983d,Sunday,9,11,1.3636363636363635,1.0
adcfa1983d,Sunday,10,12,1.3636363636363635,2.0
adcfa1983d,Sunday,11,13,1.515151515151515,3.0
adcfa1983d,Sunday,8,10,1.6666666666666667,4.0
adcfa1983d,Sunday,12,14,1.9696969696969695,5.0
bc1fdb94c5,Saturday,6,8,2.4344569288389515,1.0
